Store,Address,Latitude,Longitude,
학동역 DT점,서울특별시 강남구 학동로 211 1층 ,37.51481758,127.0320575,
수서점,서울특별시 강남구 광평로 280 수서동 724호 ,37.48749571,127.1030444,
차병원점,서울특별시 강남구 논현로 566 강남차병원1층 ,37.50675852,127.0347893,
강남대로점,서울특별시 서초구 강남대로 369 1층 ,37.49578562,127.0282032,
메가박스점,서울특별시 강남구 삼성동 159 코엑스몰 지하2층 ,37.51194346,127.0593686,
압구정에스점,서울특별시 강남구 압구정로 46길 3 ,37.52851244,127.0369073,
강남에스점,서울특별시 서초구 서초 1306-3호 ,37.50039806,127.0260777,
청담에스점,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",37.52804618,127.0369352,
신사점,서울특별시 강남구 도산대로 126 ,37.51716245,127.0223761,
압구정역점,서울특별시 강남구 논현로 842 압구정빌딩1층 ,37.52428852,127.0286887,
역삼점,"서울특별시 강남구 논현로 512  지상1,2층  ",37.50250416,127.0365096,
양재스포타임점,서울특별시 서초구 강남대로 213 24호 지하1층 ,37.48288725,127.0349215,
청담성당점,서울특별시 강남구 삼성로 716 LEE76빌딩2층 ,37.51997464,127.0500244,
영동점,서울특별시 서초구 반포동 736-17 P빌딩 2층 ,37.50699993,127.022831,
도곡점,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호  ",37.48738066,127.0515571,
영동고앞점,"서울특별시 강남구 선릉로 749 1,2층  ",37.52165681,127.039382,
공항터미널앞점,서울특별시 강남구 테헤란로 87길 17 1층 ,37.50889857,127.0582584,
교대점,서울특별시 서초구 서초중앙로 118  1층 ,37.49255558,127.0142271,
대치한티점,서울특별시 강남구 선릉로 64길 23 1층 ,37.49840178,127.0541565,
압구정시티점,"서울특별시 강남구 도산대로49길 13 1층 17,18호  ",37.52389299,127.036936,
압구정로데오점,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층 ,37.5262779,127.0389524,
