WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,ele,highway,layer,name,operator,shop,tourism,tid,territory_name
"POINT (126.166191082438 33.2892660958881)","4202246589",,,010-8221-1006,cafe,,,,,,서쪽하늘,,,,,
"POINT (126.166595682437 33.3224484958851)","6394987085",,,,cafe,,,,,,,,,,,
"POINT (126.298130282419 33.2489093958918)","5525156451",,,,cafe,,,,,,,,,,,
"POINT (126.29479628242 33.2542616958914)","4202246789",,,64-794-0999,cafe,,,,,,마노르불랑 Manor Blanc,,,,,
"POINT (126.258193582425 33.3056485958866)","5854117406",,,,cafe,,,,,,,,,,,
"POINT (126.281602082421 33.3082456958864)","5854117399",,,,cafe,,,,,,,,,,,
"POINT (126.307997882418 33.2344003958932)","4761293322",,,,cafe,,,,,,짜이다방,,,,,
"POINT (126.308032982418 33.2343916958932)","4774953523",,,,cafe,,,,,,짜이다방,,,,,
"POINT (126.308634782418 33.2352191958931)","5526628622",,,,cafe,,,,,,,,,,,
"POINT (126.36672368241 33.2354213958931)","6449000585",,,,cafe,,,,,,카페두가시,,,,,
"POINT (126.316664582417 33.3062358958866)","6699792288",,,,cafe,스타벅스,,,,,스타벅스,,,,,
"POINT (126.316961282417 33.3063118958866)","6700281058",,,,cafe,,,,,,다만 프레르,,,,,
"POINT (126.317579482416 33.3073609958865)","6700281059",,,,cafe,,,,,,M Lounge,,,,,
"POINT (126.318323582416 33.3066147958865)","6699787380",,,"38",cafe,,,,,,풀사이드 카페,,,,,
"POINT (126.241272582427 33.3214969958852)","5854117409",,,,cafe,,,,,,,,,,,
"POINT (126.270477582423 33.3168944958856)","5854117400",,,,cafe,,,,,,,,,,,
"POINT (126.258087782425 33.3369767958837)","4824435424",,,,cafe,,,,,,,,,,,
"POINT (126.262449082424 33.3391214958836)","4639285790",,,,cafe,,,,,,,,,,,
"POINT (126.232368482428 33.3892340958789)","6711414985",,,"89",cafe,,,,,,Cafe 닻별,,,,,
"POINT (126.242136282427 33.3953514958784)","5181595022",,,"361",cafe,,,,,,커핀그루나루 데이빗에디션 협재점,,,,,
"POINT (126.297199382419 33.3569728958819)","6818657286",,,,cafe,,,,,,,,,,,
"POINT (126.264775282424 33.388469895879)","3785829093",,,"48",cafe,,,,,,명월국민학교,명월국민학교,,,,
"POINT (126.327783282415 33.3478991958827)","5873545185",,,,cafe,,,,,,우유부단,,,,,
"POINT (126.411249682403 33.2499952958918)","2500291954",,,,cafe,엔제리너스,,,,,엔제리너스,롯데GRS,,,,
"POINT (126.413371482403 33.2494383958918)","3784195035",,,,cafe,,,,,,초콜릿앤드커피,,,,,
"POINT (126.412589582403 33.2511349958916)","2500291958",,,,cafe,,,,,,Starbucks Coffee,,,,,
