State,City,total_population,male_population,female_population
서울특별시,종로구,"147,113","71,567","75,546"
서울특별시,중구,"124,477","60,787","63,690"
서울특별시,용산구,"228,755","110,038","118,717"
서울특별시,성동구,"291,534","142,277","149,257"
서울특별시,광진구,"343,006","165,555","177,451"
서울특별시,동대문구,"338,480","167,643","170,837"
서울특별시,중랑구,"391,502","193,444","198,058"
서울특별시,성북구,"434,383","209,667","224,716"
서울특별시,강북구,"303,622","148,033","155,589"
서울특별시,도봉구,"321,227","156,570","164,657"
서울특별시,노원구,"517,417","249,522","267,895"
서울특별시,은평구,"474,843","227,446","247,397"
서울특별시,서대문구,"307,825","147,264","160,561"
서울특별시,마포구,"369,577","174,050","195,527"
서울특별시,양천구,"452,112","221,708","230,404"
서울특별시,강서구,"577,580","278,466","299,114"
서울특별시,구로구,"400,399","197,653","202,746"
서울특별시,금천구,"229,639","116,211","113,428"
서울특별시,영등포구,"377,696","186,652","191,044"
서울특별시,동작구,"388,672","188,032","200,640"
서울특별시,관악구,"489,464","245,666","243,798"
서울특별시,서초구,"420,318","201,075","219,243"
서울특별시,강남구,"533,579","255,243","278,336"
서울특별시,송파구,"660,160","318,374","341,786"
서울특별시,강동구,"465,331","228,768","236,563"
부산광역시,중구,"41,311","20,122","21,189"
부산광역시,서구,"106,545","51,621","54,924"
부산광역시,동구,"88,159","43,185","44,974"
부산광역시,영도구,"111,387","54,958","56,429"
부산광역시,부산진구,"357,193","172,498","184,695"
부산광역시,동래구,"268,996","130,880","138,116"
부산광역시,남구,"265,194","129,786","135,408"
부산광역시,북구,"282,073","139,491","142,582"
부산광역시,해운대구,"399,821","192,392","207,429"
부산광역시,사하구,"308,684","153,718","154,966"
부산광역시,금정구,"230,204","112,515","117,689"
부산광역시,강서구,"139,652","72,239","67,413"
부산광역시,연제구,"206,979","99,693","107,286"
부산광역시,수영구,"176,276","83,320","92,956"
부산광역시,사상구,"210,943","106,530","104,413"
부산광역시,기장군,"176,287","87,304","88,983"
대구광역시,중구,"75,366","36,199","39,167"
대구광역시,동구,"342,468","168,584","173,884"
대구광역시,서구,"169,022","84,624","84,398"
대구광역시,남구,"146,188","70,219","75,969"
대구광역시,북구,"438,248","218,144","220,104"
대구광역시,수성구,"421,840","204,076","217,764"
대구광역시,달서구,"552,975","272,745","280,230"
